parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
data,,collection,Data parameters,,,,,,,,,FALSE,,,
data.input_format,,string,Input data format,COCO,,,,,,,,FALSE,,,
data.output_dir,,hidden,Output directory path,,,,,,,,,FALSE,,,
data.image_dir,,hidden,Input image directory path,,,,,,,,,FALSE,,,
data.ann_path,,hidden,Path to annotations,,,,,,,,,FALSE,,,
workers,,int,No of worker threads,36,,,,,,,,FALSE,,,
image,,collection,Image parameters,,,,,,,,,FALSE,,,
image.generate_image_with_bounding_box,,bool,Is bounding box drawing enabled,FALSE,,,,,,,,FALSE,,,
image.sample_size,,int,Sample size,100,,,,,,,,FALSE,,,
graph,,collection,Graph feature parameters,,,,,,,,,FALSE,,,
graph.height,,int,Graph height,15,,,,,,,,FALSE,,,
graph.width,,int,Graph width,15,,,,,,,,FALSE,,,
graph.show_all,,bool,Display all graphs,FALSE,,,,,,,,FALSE,,,
graph.generate_summary_and_graph,,bool,Are summary and graph features enabled,TRUE,,,,,,,,FALSE,,,
wandb,,collection,Weights & Biases parameters,,,,,,,,,FALSE,,,
wandb.visualize,,bool,Is Weights & Biases visualization enabled,FALSE,,,,,,,,FALSE,,,
wandb.project,,string,Weights & Biases project name,TAO data analytics,,,,,,,,FALSE,,,
results_dir,,hidden,,,,,,,,,,FALSE,,,
