displayName,ngc_path,network_arch
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:vgg19,yolo_v3
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:vgg19,yolo_v4
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:vgg19,faster_rcnn
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:vgg19,retinanet
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:vgg19,ssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:vgg19,dssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:vgg16,yolo_v3
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:vgg16,yolo_v4
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:vgg16,faster_rcnn
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:vgg16,retinanet
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:vgg16,ssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:vgg16,dssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:squeezenet,yolo_v3
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:squeezenet,yolo_v4
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:squeezenet,retinanet
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:squeezenet,ssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:squeezenet,dssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet50,yolo_v3
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet50,yolo_v4
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet50,faster_rcnn
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet50,retinanet
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet50,ssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet50,dssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet34,yolo_v3
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet34,yolo_v4
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet34,faster_rcnn
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet34,retinanet
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet34,ssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet34,dssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet18,yolo_v3
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet18,yolo_v4
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet18,faster_rcnn
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet18,retinanet
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet18,ssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet18,dssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet101,yolo_v3
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet101,yolo_v4
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet101,faster_rcnn
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet101,retinanet
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet101,ssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet101,dssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet10,yolo_v3
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet10,yolo_v4
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet10,faster_rcnn
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet10,retinanet
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet10,ssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:resnet10,dssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:mobilenet_v2,yolo_v3
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:mobilenet_v2,yolo_v4
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:mobilenet_v2,faster_rcnn
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:mobilenet_v2,retinanet
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:mobilenet_v2,ssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:mobilenet_v2,dssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:mobilenet_v1,yolo_v3
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:mobilenet_v1,yolo_v4
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:mobilenet_v1,faster_rcnn
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:mobilenet_v1,retinanet
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:mobilenet_v1,ssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:mobilenet_v1,dssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:googlenet,yolo_v3
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:googlenet,yolo_v4
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:googlenet,faster_rcnn
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:googlenet,retinanet
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:googlenet,ssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:googlenet,dssd
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:efficientnet_b1_swish,faster_rcnn
TAO Pretrained Object Detection,nvidia/tao/pretrained_object_detection:efficientnet_b1_relu,faster_rcnn
